yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,year_team_ID
1987,NL,NYN,NYM,E,2,162,81,92,70,N,,N,N,823,5601,1499,287,34,192,592,1012,159,49,,,698,620,3.84,16,7,51,4362,1407,135,510,1032,137,137,0.97,New York Mets,Shea Stadium,3034129,95,93,NYM,NYN,NYN,1987_NYN
1987,AL,OAK,OAK,W,3,162,81,81,81,N,,N,N,806,5511,1432,263,33,199,593,1056,140,63,,,789,694,4.32,18,6,40,4335,1442,176,531,1042,142,122,0.97,Oakland Athletics,Oakland Coliseum,1678921,93,93,OAK,OAK,OAK,1987_OAK
1987,NL,PHI,PHI,E,4,162,81,80,82,N,,N,N,702,5475,1390,248,51,169,587,1109,111,49,,,749,673,4.18,13,7,48,4344,1453,167,587,877,121,137,0.98,Philadelphia Phillies,Veterans Stadium,2100110,103,104,PHI,PHI,PHI,1987_PHI
1987,NL,PIT,PIT,E,4,162,81,80,82,N,,N,N,723,5536,1464,282,45,131,535,914,140,58,,,744,674,4.2,25,13,39,4335,1377,164,562,914,123,147,0.98,Pittsburgh Pirates,Three Rivers Stadium,1161193,100,100,PIT,PIT,PIT,1987_PIT
1987,NL,SDN,SDP,W,6,162,81,65,97,N,,N,N,668,5456,1419,209,48,113,577,992,198,91,,,763,680,4.27,14,10,33,4299,1402,175,602,897,146,135,0.97,San Diego Padres,Jack Murphy Stadium,1454061,96,97,SDP,SDN,SDN,1987_SDN
1987,AL,SEA,SEA,W,4,162,81,78,84,N,,N,N,760,5508,1499,282,48,161,500,863,174,73,,,801,713,4.49,39,10,33,4290,1503,199,497,919,121,150,0.98,Seattle Mariners,Kingdome,1134255,105,106,SEA,SEA,SEA,1987_SEA
1987,NL,SFN,SFG,W,1,162,81,90,72,Y,,N,N,783,5608,1458,274,32,205,511,1094,126,97,,,669,601,3.68,19,10,38,4413,1407,146,547,1038,129,183,0.98,San Francisco Giants,Candlestick Park,1917168,96,95,SFG,SFN,SFN,1987_SFN
1987,NL,SLN,STL,E,1,162,81,95,67,Y,,Y,N,798,5500,1449,252,49,94,644,933,248,72,,,693,637,3.91,10,7,48,4398,1484,129,533,873,116,172,0.98,St. Louis Cardinals,Busch Stadium II,3072122,102,102,STL,SLN,SLN,1987_SLN
1987,AL,TEX,TEX,W,6,162,81,75,87,N,,N,N,823,5564,1478,264,35,194,567,1081,120,71,,,849,743,4.63,20,3,27,4332,1388,199,760,1103,148,148,0.97,Texas Rangers,Arlington Stadium,1763053,100,101,TEX,TEX,TEX,1987_TEX
1987,AL,TOR,TOR,E,2,162,81,96,66,N,,N,N,845,5635,1514,277,38,215,555,970,126,50,,,655,604,3.74,18,8,43,4362,1323,158,567,1064,111,148,0.98,Toronto Blue Jays,Exhibition Stadium,2778429,102,101,TOR,TOR,TOR,1987_TOR
1988,NL,ATL,ATL,W,6,160,79,54,106,N,,N,N,555,5440,1319,228,28,96,432,848,95,69,,,741,657,4.09,14,4,25,4338,1481,108,524,810,151,138,0.97,Atlanta Braves,Atlanta-Fulton County Stadium,848089,104,106,ATL,ATL,ATL,1988_ATL
